0.000000000000000000e+00 8.334835079380294331e+00 1.471666382451901171e-02
2.500000000000000000e-01 9.200233099816413684e+00 1.517820954342026865e-02
5.000000000000000000e-01 1.031389936982758648e+01 1.737764315929178627e-02
7.500000000000000000e-01 1.031389936982758648e+01 1.737764315929178627e-02
1.000000000000000000e+00 1.336542194964356511e+01 2.157570583555433463e-02
1.250000000000000000e+00 1.546501852532013821e+01 2.525941653748179153e-02
1.500000000000000000e+00 1.793501156596337154e+01 3.084782289750602133e-02
1.750000000000000000e+00 1.808837542393410658e+01 2.456486081395326329e-02
2.000000000000000000e+00 2.480077671457575050e+01 4.521034593708555399e-02
2.250000000000000000e+00 2.973978254058918225e+01 4.862146098271331179e-02
2.500000000000000000e+00 3.565209268152451472e+01 5.951015945411827074e-02
2.750000000000000000e+00 4.299260824377843448e+01 7.319540789784288737e-02
3.000000000000000000e+00 4.971284971881307513e+01 1.030825299773851372e-01
3.250000000000000000e+00 6.096674726641793285e+01 1.039098735898140724e-01
3.500000000000000000e+00 7.119549305402935602e+01 1.587895526983173211e-01
3.750000000000000000e+00 8.499709722544929491e+01 1.935932067061433282e-01
4.000000000000000000e+00 1.015444531921343412e+02 2.484693727738165603e-01
