0.000000000000000000e+00 9.712866952373941487e+00 2.341237964850595779e-02
2.500000000000000000e-01 1.075405115413268398e+01 2.639685716796043996e-02
5.000000000000000000e-01 1.194107012278597857e+01 2.829911034986986457e-02
7.500000000000000000e-01 1.194107012278597857e+01 2.829911034986986457e-02
1.000000000000000000e+00 1.546947991922706223e+01 3.542866351478031472e-02
1.250000000000000000e+00 1.796684332604450063e+01 3.972105628752933826e-02
1.500000000000000000e+00 2.075259945404852502e+01 4.215763264822032508e-02
1.750000000000000000e+00 2.447736576452572166e+01 4.944657839890592016e-02
2.000000000000000000e+00 2.839210661100240429e+01 5.171959898841611142e-02
2.250000000000000000e+00 3.342900992776954183e+01 5.768064837156646613e-02
2.500000000000000000e+00 4.019074703100038448e+01 7.348195095528038678e-02
2.750000000000000000e+00 4.818370033688768217e+01 7.724468604111490999e-02
3.000000000000000000e+00 5.778173915396626370e+01 9.514434243314971729e-02
3.250000000000000000e+00 7.079302361309464686e+01 1.059182220424862569e-01
3.500000000000000000e+00 8.484310672020451705e+01 1.214775963707246248e-01
3.750000000000000000e+00 1.008486049380922367e+02 1.641541754832038236e-01
4.000000000000000000e+00 1.139510419041355931e+02 2.382696860274004513e-01
4.250000000000000000e+00 1.348054963672511519e+02 2.768977913698064675e-01
4.500000000000000000e+00 1.697956998749867807e+02 2.602719289483537146e-01
4.750000000000000000e+00 1.987106423156147628e+02 3.003382451301259137e-01
5.000000000000000000e+00 2.412112390290235737e+02 3.856616953804508086e-01
