          10  0.32059306187155617        2.1909407566415021E-002
          20  0.42993644908918760        2.4543685776905681E-002
          30  0.48374549161964969        2.2975328850744589E-002
          40  0.51492047596677337        2.1230878274217803E-002
          50  0.53446055615128329        2.0274427056277397E-002
          60  0.54786780477747843        1.9333709119076496E-002
          70  0.55711636715112678        1.8759230561787913E-002
          80  0.56430121852011261        1.8220231339370674E-002
          90  0.56949015844447370        1.7958857019754682E-002
         100  0.57389731980616876        1.7731379625941485E-002
         110  0.57749351083972300        1.7388788672665530E-002
         120  0.58061630561177757        1.7170276495119288E-002
         130  0.58306510391959876        1.6981710648424495E-002
         140  0.58552217679100560        1.6745610036644598E-002
         150  0.58759980266138601        1.6668769653855966E-002
         160  0.58960447344296030        1.6459952600859071E-002
         170  0.59082076861182242        1.6391073249737629E-002
         180  0.59213541965319050        1.6327686291164659E-002
         190  0.59342512135040071        1.6174156454341920E-002
         200  0.59469006350962361        1.6033199797328104E-002
